school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,subject,student_id,school_enc,sex_enc,address_enc,famsize_enc,Pstatus_enc,Mjob_enc,Fjob_enc,reason_enc,guardian_enc,avg_grade,performance_class
GP,M,16,U,GT3,T,3,1,other,other,reputation,mother,1,1,0,0,0,0,1,1,1,0,0,5,3,2,2,2,5,2,12,12,14,Math,74,0,1,1,1,1,2,2,3,1,12.666666666666666,Average
GP,F,16,U,GT3,T,3,3,other,services,home,mother,1,2,0,1,1,1,1,1,1,1,0,4,3,3,2,4,5,54,11,12,11,Math,75,0,0,1,1,1,2,3,1,1,11.333333333333334,Average
GP,M,15,U,GT3,T,4,3,teacher,other,home,mother,1,2,0,0,1,1,1,1,1,1,0,4,3,3,2,3,5,6,9,9,10,Math,76,0,1,1,1,1,4,2,1,1,9.333333333333334,Average
GP,M,15,U,GT3,T,4,0,teacher,other,course,mother,2,4,0,0,0,0,1,1,1,1,0,3,4,3,1,1,1,8,11,11,10,Math,77,0,1,1,1,1,4,2,0,1,10.666666666666666,Average
GP,F,16,U,GT3,T,2,2,other,other,reputation,mother,1,4,0,0,0,1,0,1,1,1,1,5,2,3,1,3,3,0,11,11,11,Math,78,0,0,1,1,1,2,2,3,1,11.0,Average
GP,M,17,U,GT3,T,2,1,other,other,home,mother,2,1,3,1,1,0,1,1,0,1,0,4,5,1,1,1,3,2,8,8,10,Math,79,0,1,1,1,1,2,2,1,1,8.666666666666666,Average
GP,F,16,U,GT3,T,3,4,at_home,other,course,mother,1,2,0,0,1,0,0,1,1,1,0,2,4,3,1,2,3,12,5,5,5,Math,80,0,0,1,1,1,0,2,0,1,5.0,At-Risk
GP,M,15,U,GT3,T,2,3,other,services,course,father,1,1,0,1,1,1,1,0,1,1,1,3,2,2,1,3,3,2,10,12,12,Math,81,0,1,1,1,1,2,3,0,0,11.333333333333334,Average
GP,M,15,U,GT3,T,2,3,other,other,home,mother,1,3,0,1,0,1,0,0,1,1,0,5,3,2,1,2,5,4,11,10,11,Math,82,0,1,1,1,1,2,2,1,1,10.666666666666666,Average
GP,F,15,U,LE3,T,3,2,services,other,reputation,mother,1,2,0,0,1,1,0,1,1,1,0,4,4,4,1,1,5,10,7,6,6,Math,83,0,0,1,0,1,3,2,3,1,6.333333333333333,At-Risk
GP,M,15,U,LE3,T,2,2,services,services,home,mother,2,2,0,0,0,1,1,1,1,1,0,5,3,3,1,3,4,4,15,15,15,Math,84,0,1,1,0,1,3,3,1,1,15.0,High
GP,F,15,U,GT3,T,1,1,other,other,home,father,1,2,0,0,1,0,1,0,1,1,0,4,3,2,2,3,4,2,9,10,10,Math,85,0,0,1,1,1,2,2,1,0,9.666666666666666,Average
GP,F,15,U,GT3,T,4,4,services,services,reputation,father,2,2,2,0,0,1,0,1,1,1,1,4,4,4,2,3,5,6,7,9,8,Math,86,0,0,1,1,1,3,3,3,0,8.0,At-Risk
GP,F,16,U,LE3,T,2,2,at_home,other,course,mother,1,2,0,0,1,0,0,1,1,0,0,4,3,4,1,2,2,4,8,7,6,Math,87,0,0,1,0,1,0,2,0,1,7.0,At-Risk
GP,F,15,U,GT3,T,4,2,other,other,reputation,mother,1,3,0,0,1,0,1,1,1,1,0,5,3,3,1,3,1,4,13,14,14,Math,88,0,0,1,1,1,2,2,3,1,13.666666666666666,Average
GP,M,16,U,GT3,T,2,2,services,other,reputation,father,2,2,1,0,0,1,1,0,1,1,0,4,4,2,1,1,3,12,11,10,10,Math,89,0,1,1,1,1,3,2,3,0,10.333333333333334,Average
GP,M,16,U,LE3,A,4,4,teacher,health,reputation,mother,1,2,0,0,1,0,0,1,1,0,0,4,1,3,3,5,5,18,8,6,7,Math,90,0,1,1,0,0,4,1,3,1,7.0,At-Risk
GP,F,16,U,GT3,T,3,3,other,other,home,mother,1,3,0,0,1,1,0,1,1,1,1,4,3,3,1,3,4,0,7,7,8,Math,91,0,0,1,1,1,2,2,1,1,7.333333333333333,At-Risk
GP,F,15,U,GT3,T,4,3,services,other,reputation,mother,1,1,0,0,0,1,1,1,1,1,0,4,5,5,1,3,1,4,16,17,18,Math,92,0,0,1,1,1,3,2,3,1,17.0,High
GP,F,16,U,LE3,T,3,1,other,other,home,father,1,2,0,1,1,0,0,1,1,0,0,3,3,3,2,3,2,4,7,6,6,Math,93,0,0,1,0,1,2,2,1,0,6.333333333333333,At-Risk
GP,F,16,U,GT3,T,4,2,teacher,services,home,mother,2,2,0,0,1,1,1,1,1,1,0,5,3,3,1,1,1,0,11,10,10,Math,94,0,0,1,1,1,4,3,1,1,10.333333333333334,Average
GP,M,15,U,LE3,T,2,2,services,health,reputation,mother,1,4,0,0,1,0,1,1,1,1,0,4,3,4,1,1,4,6,11,13,14,Math,95,0,1,1,0,1,3,1,3,1,12.666666666666666,Average
GP,F,15,R,GT3,T,1,1,at_home,other,home,mother,2,4,1,1,1,1,1,1,1,1,0,3,1,2,1,1,1,2,7,10,10,Math,96,0,0,0,1,1,0,2,1,1,9.0,Average
GP,M,16,R,GT3,T,4,3,services,other,reputation,mother,2,1,0,1,1,0,1,0,1,1,0,3,3,3,1,1,4,2,11,15,15,Math,97,0,1,0,1,1,3,2,3,1,13.666666666666666,High
GP,F,16,U,GT3,T,2,1,other,other,course,mother,1,2,0,0,1,1,0,1,1,0,1,4,3,5,1,1,5,2,8,9,10,Math,98,0,0,1,1,1,2,2,0,1,9.0,Average
GP,F,16,U,GT3,T,4,4,other,other,reputation,mother,1,1,0,0,0,0,1,0,1,1,0,5,3,4,1,2,1,6,11,14,14,Math,99,0,0,1,1,1,2,2,3,1,13.0,Average
GP,F,16,U,GT3,T,4,3,other,at_home,course,mother,1,3,0,1,1,1,0,1,1,1,0,5,3,5,1,1,3,0,7,9,8,Math,100,0,0,1,1,1,2,0,0,1,8.0,At-Risk
GP,M,16,U,GT3,T,4,4,services,services,other,mother,1,1,0,1,1,1,1,1,1,1,0,4,5,5,5,5,4,14,7,7,5,Math,101,0,1,1,1,1,3,3,2,1,6.333333333333333,At-Risk
GP,M,16,U,GT3,T,4,4,services,teacher,other,father,1,3,0,0,1,0,1,1,1,1,1,4,4,3,1,1,4,0,16,17,17,Math,102,0,1,1,1,1,3,4,2,0,16.666666666666668,High
GP,M,15,U,GT3,T,4,4,services,other,course,mother,1,1,0,0,1,0,1,0,1,1,0,5,3,3,1,1,5,4,10,13,14,Math,103,0,1,1,1,1,3,2,0,1,12.333333333333334,Average
GP,F,15,U,GT3,T,3,2,services,other,home,mother,2,2,0,1,1,1,0,1,1,1,0,4,3,5,1,1,2,26,7,6,6,Math,104,0,0,1,1,1,3,2,1,1,6.333333333333333,At-Risk
GP,M,15,U,GT3,A,3,4,services,other,course,mother,1,2,0,0,1,1,1,1,1,1,0,5,4,4,1,1,1,0,16,18,18,Math,105,0,1,1,1,0,3,2,0,1,17.333333333333332,High
GP,F,15,U,GT3,A,3,3,other,health,reputation,father,1,4,0,1,0,0,0,1,1,0,0,4,3,3,1,1,4,10,10,11,11,Math,106,0,0,1,1,0,2,1,3,0,10.666666666666666,Average
GP,F,15,U,GT3,T,2,2,other,other,course,mother,1,4,0,1,1,1,0,1,1,1,0,5,1,2,1,1,3,8,7,8,8,Math,107,0,0,1,1,1,2,2,0,1,7.666666666666667,At-Risk
GP,M,16,U,GT3,T,3,3,services,other,home,father,1,3,0,0,1,0,1,1,1,1,0,5,3,3,1,1,5,2,16,18,18,Math,108,0,1,1,1,1,3,2,1,0,17.333333333333332,High
GP,M,15,R,GT3,T,4,4,other,other,home,father,4,4,0,0,1,1,1,1,1,1,1,1,3,5,3,5,1,6,10,13,13,Math,109,0,1,0,1,1,2,2,1,0,12.0,Average
GP,F,16,U,LE3,T,4,4,health,health,other,mother,1,3,0,0,1,1,1,1,1,1,1,5,4,5,1,1,4,4,14,15,16,Math,110,0,0,1,0,1,1,1,2,1,15.0,High
GP,M,15,U,LE3,A,4,4,teacher,teacher,course,mother,1,1,0,0,0,0,1,1,1,1,0,5,5,3,1,1,4,6,18,19,19,Math,111,0,1,1,0,0,4,4,0,1,18.666666666666668,High
GP,F,16,R,GT3,T,3,3,services,other,reputation,father,1,3,1,1,1,0,1,1,1,1,0,4,1,2,1,1,2,0,7,10,10,Math,112,0,0,0,1,1,3,2,3,0,9.0,Average
GP,F,16,U,GT3,T,2,2,at_home,other,home,mother,1,2,1,1,0,0,1,1,1,1,0,3,1,2,1,1,5,6,10,13,13,Math,113,0,0,1,1,1,0,2,1,1,12.0,Average
GP,M,15,U,LE3,T,4,2,teacher,other,course,mother,1,1,0,0,0,0,0,1,1,1,0,3,5,2,1,1,3,10,18,19,19,Math,114,0,1,1,0,1,4,2,0,1,18.666666666666668,High
GP,M,15,R,GT3,T,2,1,health,services,reputation,mother,1,2,0,0,0,0,1,1,1,1,1,5,4,2,1,1,5,8,9,9,9,Math,115,0,1,0,1,1,1,3,3,1,9.0,At-Risk
GP,M,16,U,GT3,T,4,4,teacher,teacher,course,father,1,2,0,0,1,0,1,1,1,1,0,5,4,4,1,2,5,2,15,15,16,Math,116,0,1,1,1,1,4,4,0,0,15.333333333333334,High
GP,M,15,U,GT3,T,4,4,other,teacher,reputation,father,2,2,0,0,1,0,1,1,1,0,0,4,4,3,1,1,2,2,11,13,14,Math,117,0,1,1,1,1,2,4,3,0,12.666666666666666,Average
GP,M,16,U,GT3,T,3,3,other,services,home,father,2,1,0,0,0,0,1,1,1,1,0,5,4,2,1,1,5,0,13,14,13,Math,118,0,1,1,1,1,2,3,1,0,13.333333333333334,Average
GP,M,17,R,GT3,T,1,3,other,other,course,father,3,2,1,0,1,0,1,1,1,1,0,5,2,4,1,4,5,20,9,7,8,Math,119,0,1,0,1,1,2,2,0,0,8.0,At-Risk
GP,M,15,U,GT3,T,3,4,other,other,reputation,father,1,1,0,0,0,0,0,1,1,1,0,3,4,3,1,2,4,6,14,13,13,Math,120,0,1,1,1,1,2,2,3,0,13.333333333333334,Average
GP,F,15,U,GT3,T,1,2,at_home,services,course,mother,1,2,0,0,0,0,0,0,1,1,0,3,2,3,1,2,1,2,16,15,15,Math,121,0,0,1,1,1,0,3,0,1,15.333333333333334,High
GP,M,15,U,GT3,T,2,2,services,services,home,father,1,4,0,0,1,1,1,1,1,1,0,5,5,4,1,2,5,6,16,14,15,Math,122,0,1,1,1,1,3,3,1,0,15.0,High
GP,F,16,U,LE3,T,2,4,other,health,course,father,2,2,0,0,1,1,1,1,1,1,1,4,2,2,1,2,5,2,13,13,13,Math,123,0,0,1,0,1,2,1,0,0,13.0,Average
GP,M,16,U,GT3,T,4,4,health,other,course,mother,1,1,0,0,1,0,1,1,1,1,0,3,4,4,1,4,5,18,14,11,13,Math,124,0,1,1,1,1,1,2,0,1,12.666666666666666,Average
GP,F,16,U,GT3,T,2,2,other,other,home,mother,1,2,0,0,0,1,0,1,1,1,1,5,4,4,1,1,5,0,8,7,8,Math,125,0,0,1,1,1,2,2,1,1,7.666666666666667,At-Risk
GP,M,15,U,GT3,T,3,4,services,services,home,father,1,1,0,1,0,0,0,1,1,1,0,5,5,5,3,2,5,0,13,13,12,Math,126,0,1,1,1,1,3,3,1,0,12.666666666666666,Average
GP,F,15,U,LE3,A,3,4,other,other,home,mother,1,2,0,1,0,0,1,1,1,1,1,5,3,2,1,1,1,0,7,10,11,Math,127,0,0,1,0,0,2,2,1,1,9.333333333333334,Average
GP,F,19,U,GT3,T,0,1,at_home,other,course,other,1,2,3,0,1,0,0,0,0,0,0,3,4,2,1,1,5,2,7,8,9,Math,128,0,0,1,1,1,0,2,0,2,8.0,At-Risk
GP,M,18,R,GT3,T,2,2,services,other,reputation,mother,1,1,2,0,1,0,1,1,1,1,0,3,3,3,1,2,4,0,7,4,0,Math,129,0,1,0,1,1,3,2,3,1,3.6666666666666665,At-Risk
GP,M,16,R,GT3,T,4,4,teacher,teacher,course,mother,1,1,0,0,0,1,1,1,1,1,0,3,5,5,2,5,4,8,18,18,18,Math,130,0,1,0,1,1,4,4,0,1,18.0,High
