student_id,G1,G2,G3,absences,failures,cluster_label,performance_class,urgency,intervention,risk_factor_count
165,5,8,7,0,3,At-Risk,At-Risk,High,Priority academic counseling | Remedial tutoring program | Wellness & substance awareness program | Family engagement program,3
166,12,11,12,16,1,Average,Average,High,Attendance counseling + parent contact | Study skills workshop | Health & wellbeing referral,3
167,10,10,10,4,0,At-Risk,Average,High,Priority academic counseling | Wellness & substance awareness program,1
168,14,15,16,0,0,High Performer,High,Low,Standard monitoring,0
169,6,7,0,0,0,Average,At-Risk,Medium,Early exam preparation support,1
170,14,14,14,0,0,High Performer,Average,Low,Standard monitoring,0
171,6,5,0,0,2,At-Risk,At-Risk,High,Priority academic counseling | Remedial tutoring program | Study skills workshop | Wellness & substance awareness program | Early exam preparation support | Health & wellbeing referral,5
172,13,15,16,2,0,Average,High,Medium,Family engagement program,1
173,13,11,10,0,0,High Performer,Average,Low,Standard monitoring,0
174,8,7,0,0,3,At-Risk,At-Risk,High,Priority academic counseling | Remedial tutoring program,1
175,10,11,9,4,0,High Performer,At-Risk,Low,Standard monitoring,0
176,10,9,9,4,0,At-Risk,At-Risk,High,Priority academic counseling | Wellness & substance awareness program,1
177,13,13,11,2,0,High Performer,Average,Medium,Wellness & substance awareness program,1
178,6,5,6,4,0,At-Risk,At-Risk,High,Priority academic counseling | Wellness & substance awareness program | Early exam preparation support,2
179,10,8,9,10,0,At-Risk,At-Risk,High,Priority academic counseling | Study skills workshop | Wellness & substance awareness program,2
180,10,10,11,4,0,High Performer,Average,Medium,Health & wellbeing referral,1
181,9,8,8,10,0,High Performer,At-Risk,Low,Standard monitoring,0
182,12,13,12,2,0,High Performer,Average,Low,Standard monitoring,0
183,16,17,17,0,0,High Performer,High,Low,Standard monitoring,0
184,9,9,8,56,0,At-Risk,At-Risk,High,Priority academic counseling | Attendance counseling + parent contact | Health & wellbeing referral,2
185,12,13,12,14,0,High Performer,Average,Medium,Health & wellbeing referral,1
186,12,12,11,12,0,High Performer,Average,Low,Standard monitoring,0
187,11,12,11,2,0,Average,Average,Medium,Study skills workshop,1
188,15,15,15,0,0,Average,High,Low,Standard monitoring,0
189,8,7,9,6,0,Average,At-Risk,Low,Standard monitoring,0
190,8,9,10,4,0,Average,Average,Medium,Wellness & substance awareness program,1
191,11,12,13,10,0,Average,Average,Medium,Health & wellbeing referral,1
192,8,8,9,0,0,Average,At-Risk,Medium,Family engagement program,1
193,7,8,8,12,0,At-Risk,At-Risk,High,Priority academic counseling | Wellness & substance awareness program,1
194,8,9,10,8,0,At-Risk,Average,High,Priority academic counseling | Study skills workshop | Wellness & substance awareness program,2
195,13,14,14,0,0,High Performer,Average,Medium,Study skills workshop,1
196,14,15,15,0,0,High Performer,High,Low,Standard monitoring,0
197,17,15,16,4,0,High Performer,High,Medium,Study skills workshop,1
198,9,9,10,8,0,At-Risk,Average,High,Priority academic counseling | Study skills workshop | Wellness & substance awareness program,2
199,18,18,18,24,1,High Performer,High,High,Attendance counseling + parent contact | Study skills workshop | Health & wellbeing referral,3
200,9,9,10,0,0,High Performer,Average,Low,Standard monitoring,0
201,16,16,16,2,0,High Performer,High,Medium,Wellness & substance awareness program | Health & wellbeing referral,2
202,8,10,10,6,0,Average,Average,Low,Standard monitoring,0
203,9,9,10,4,0,Average,Average,Medium,Health & wellbeing referral | Family engagement program,2
204,7,6,6,18,0,Average,At-Risk,High,Attendance counseling + parent contact | Study skills workshop | Early exam preparation support,3
205,10,10,11,6,0,Average,Average,Low,Standard monitoring,0
206,10,9,9,28,1,At-Risk,At-Risk,High,Priority academic counseling | Attendance counseling + parent contact | Wellness & substance awareness program,2
207,7,7,7,5,3,At-Risk,At-Risk,High,Priority academic counseling | Remedial tutoring program | Early exam preparation support,2
208,11,12,13,10,0,High Performer,Average,Medium,Health & wellbeing referral,1
209,9,9,10,6,0,Average,Average,High,Study skills workshop | Wellness & substance awareness program | Family engagement program,3
210,7,7,7,6,0,High Performer,At-Risk,Medium,Early exam preparation support,1
211,8,8,8,10,0,Average,At-Risk,Low,Standard monitoring,0
212,12,12,13,13,0,At-Risk,Average,High,Priority academic counseling | Wellness & substance awareness program,1
213,12,13,14,0,0,Average,Average,Low,Standard monitoring,0
214,6,7,8,15,1,At-Risk,At-Risk,High,Priority academic counseling | Wellness & substance awareness program | Early exam preparation support,2
215,8,10,10,12,0,Average,Average,Medium,Study skills workshop,1
216,14,15,15,2,0,High Performer,High,Medium,Health & wellbeing referral,1
217,6,6,4,22,2,At-Risk,At-Risk,High,Priority academic counseling | Remedial tutoring program | Attendance counseling + parent contact | Wellness & substance awareness program | Early exam preparation support | Health & wellbeing referral,5
218,6,6,8,13,1,At-Risk,At-Risk,High,Priority academic counseling | Wellness & substance awareness program | Early exam preparation support,2
219,7,7,8,3,0,Average,At-Risk,High,Study skills workshop | Wellness & substance awareness program | Early exam preparation support,3
220,9,10,10,4,0,Average,Average,Low,Standard monitoring,0
221,6,6,6,2,0,Average,At-Risk,Medium,Early exam preparation support,1
222,6,5,0,0,1,Average,At-Risk,Medium,Early exam preparation support | Family engagement program,2
223,16,16,17,2,0,High Performer,High,Low,Standard monitoring,0
224,12,13,13,0,0,At-Risk,Average,High,Priority academic counseling | Wellness & substance awareness program,1
225,13,13,14,0,0,High Performer,Average,Low,Standard monitoring,0
226,9,8,7,16,1,Average,At-Risk,Medium,Attendance counseling + parent contact,1
227,16,15,15,10,0,High Performer,High,Low,Standard monitoring,0
228,12,11,12,2,0,High Performer,Average,Low,Standard monitoring,0
229,10,8,9,14,0,At-Risk,At-Risk,High,Priority academic counseling | Wellness & substance awareness program,1
230,12,10,12,10,0,Average,Average,Low,Standard monitoring,0
231,13,13,14,14,0,High Performer,Average,Low,Standard monitoring,0
232,11,11,11,4,0,Average,Average,Medium,Health & wellbeing referral,1
233,11,9,9,14,0,High Performer,At-Risk,Medium,Health & wellbeing referral,1
234,14,13,13,2,0,High Performer,Average,Medium,Wellness & substance awareness program | Health & wellbeing referral,2
235,9,7,6,18,0,Average,At-Risk,Medium,Attendance counseling + parent contact | Family engagement program,2
236,11,9,10,10,0,Average,Average,Medium,Health & wellbeing referral,1
237,14,13,13,4,0,At-Risk,Average,High,Priority academic counseling | Wellness & substance awareness program,1
238,13,12,12,20,0,Average,Average,Medium,Attendance counseling + parent contact | Study skills workshop,2
239,13,11,11,2,0,Average,Average,Low,Standard monitoring,0
240,7,7,0,0,1,At-Risk,At-Risk,High,Priority academic counseling | Wellness & substance awareness program | Early exam preparation support | Health & wellbeing referral,3
241,12,12,12,14,0,High Performer,Average,Medium,Wellness & substance awareness program,1
242,10,11,12,2,0,High Performer,Average,Low,Standard monitoring,0
243,6,0,0,0,0,At-Risk,At-Risk,High,Priority academic counseling | Study skills workshop | Early exam preparation support,2
244,13,12,12,0,0,High Performer,Average,Medium,Study skills workshop,1
245,7,0,0,0,0,Average,At-Risk,Medium,Early exam preparation support,1
246,18,18,18,6,0,High Performer,High,Medium,Study skills workshop,1
247,12,12,13,4,0,Average,Average,Medium,Study skills workshop | Health & wellbeing referral,2
248,6,8,8,16,3,At-Risk,At-Risk,High,Priority academic counseling | Remedial tutoring program | Attendance counseling + parent contact | Study skills workshop | Wellness & substance awareness program | Health & wellbeing referral,5
249,3,5,5,8,1,At-Risk,At-Risk,High,Priority academic counseling | Early exam preparation support,1
250,13,15,15,0,0,Average,High,Medium,Study skills workshop | Wellness & substance awareness program,2
251,6,8,8,0,1,At-Risk,At-Risk,High,Priority academic counseling | Study skills workshop | Wellness & substance awareness program,2
252,7,10,10,6,0,Average,Average,Medium,Health & wellbeing referral,1
253,6,9,8,4,1,At-Risk,At-Risk,High,Priority academic counseling | Study skills workshop | Wellness & substance awareness program,2
254,8,9,8,0,0,Average,At-Risk,Medium,Study skills workshop,1
255,8,12,12,0,0,At-Risk,Average,High,Priority academic counseling | Study skills workshop | Wellness & substance awareness program,2
256,7,9,8,2,1,At-Risk,At-Risk,High,Priority academic counseling | Study skills workshop | Family engagement program,2
257,14,12,13,6,0,High Performer,Average,Low,Standard monitoring,0
258,11,11,11,12,0,High Performer,Average,Medium,Health & wellbeing referral,1
259,15,14,14,8,0,Average,Average,Low,Standard monitoring,0
260,10,9,0,0,0,Average,At-Risk,Medium,Health & wellbeing referral,1
261,17,18,18,21,0,High Performer,High,Medium,Attendance counseling + parent contact | Health & wellbeing referral,2
262,8,8,8,2,0,High Performer,At-Risk,Low,Standard monitoring,0
263,13,12,12,1,0,Average,Average,Low,Standard monitoring,0
264,10,9,9,4,0,Average,At-Risk,Low,Standard monitoring,0
265,9,10,0,0,0,Average,At-Risk,Low,Standard monitoring,0
266,17,17,17,13,0,High Performer,High,Medium,Wellness & substance awareness program | Health & wellbeing referral,2
267,9,9,10,2,0,At-Risk,Average,High,Priority academic counseling | Wellness & substance awareness program,1
268,12,10,11,8,0,High Performer,Average,Low,Standard monitoring,0
269,10,9,10,10,0,At-Risk,Average,High,Priority academic counseling,0
270,6,0,0,0,0,At-Risk,At-Risk,High,Priority academic counseling | Early exam preparation support,1
271,9,9,9,15,2,At-Risk,At-Risk,High,Priority academic counseling | Remedial tutoring program,1
272,15,14,14,4,0,High Performer,Average,Medium,Health & wellbeing referral,1
273,11,11,11,2,0,Average,Average,Medium,Family engagement program,1
274,15,14,14,2,0,Average,Average,Medium,Health & wellbeing referral,1
275,10,10,10,2,0,High Performer,Average,Medium,Health & wellbeing referral,1
276,12,12,12,6,0,At-Risk,Average,High,Priority academic counseling,0
277,10,9,9,75,0,At-Risk,At-Risk,High,Priority academic counseling | Attendance counseling + parent contact,1
278,9,9,9,22,0,At-Risk,At-Risk,High,Priority academic counseling | Attendance counseling + parent contact | Study skills workshop | Wellness & substance awareness program,3
279,9,8,8,15,1,High Performer,At-Risk,Low,Standard monitoring,0
280,10,11,10,8,0,High Performer,Average,Medium,Study skills workshop | Health & wellbeing referral,2
281,8,8,8,30,0,At-Risk,At-Risk,High,Priority academic counseling | Attendance counseling + parent contact | Study skills workshop | Wellness & substance awareness program,3
282,11,9,10,19,1,At-Risk,Average,High,Priority academic counseling | Attendance counseling + parent contact | Study skills workshop | Wellness & substance awareness program,3
283,12,12,12,1,0,Average,Average,Medium,Family engagement program,1
284,8,9,10,4,0,Average,Average,Medium,Family engagement program,1
285,10,9,11,4,0,Average,Average,Low,Standard monitoring,0
286,12,10,11,2,0,Average,Average,Medium,Family engagement program,1
287,18,18,19,5,0,High Performer,High,Medium,Health & wellbeing referral,1
288,13,12,12,6,0,Average,Average,Medium,Family engagement program,1
289,15,14,14,6,0,Average,Average,Medium,Health & wellbeing referral,1
290,15,13,15,9,0,High Performer,High,Medium,Health & wellbeing referral,1
291,12,11,11,11,0,High Performer,Average,Medium,Wellness & substance awareness program,1
292,15,15,15,0,0,High Performer,High,Low,Standard monitoring,0
293,12,12,13,12,1,Average,Average,Low,Standard monitoring,0
294,18,18,18,6,0,Average,High,Low,Standard monitoring,0
295,14,13,14,8,0,High Performer,Average,Low,Standard monitoring,0
296,14,12,11,4,0,High Performer,Average,Medium,Study skills workshop,1
297,10,9,0,0,0,High Performer,At-Risk,Medium,Health & wellbeing referral,1
298,10,8,8,10,0,High Performer,At-Risk,Medium,Health & wellbeing referral,1
299,14,13,14,0,0,High Performer,Average,Low,Standard monitoring,0
300,16,15,16,5,0,High Performer,High,Medium,Study skills workshop | Health & wellbeing referral,2
301,12,10,11,14,0,High Performer,Average,Low,Standard monitoring,0
302,11,11,10,0,0,High Performer,Average,Medium,Study skills workshop,1
303,15,12,14,0,0,High Performer,Average,Low,Standard monitoring,0
304,17,17,18,0,0,High Performer,High,Low,Standard monitoring,0
305,15,14,13,20,1,High Performer,Average,Medium,Attendance counseling + parent contact,1
306,14,12,12,8,1,High Performer,Average,Low,Standard monitoring,0
307,17,18,18,0,0,High Performer,High,Medium,Study skills workshop,1
308,8,9,8,38,1,At-Risk,At-Risk,High,Priority academic counseling | Attendance counseling + parent contact | Study skills workshop,2
309,15,12,12,0,1,High Performer,Average,Low,Standard monitoring,0
310,12,10,10,18,1,At-Risk,Average,High,Priority academic counseling | Attendance counseling + parent contact | Family engagement program,2
311,9,9,0,0,1,Average,At-Risk,Low,Standard monitoring,0
312,14,12,13,20,0,Average,Average,Medium,Attendance counseling + parent contact | Health & wellbeing referral,2
313,13,11,11,3,1,Average,Average,Low,Standard monitoring,0
314,13,10,11,22,1,Average,Average,Medium,Attendance counseling + parent contact | Health & wellbeing referral,2
315,15,13,13,14,2,Average,Average,Medium,Remedial tutoring program | Family engagement program,2
316,13,11,11,40,1,Average,Average,Medium,Attendance counseling + parent contact,1
317,8,8,0,0,0,Average,At-Risk,Medium,Health & wellbeing referral,1
318,9,10,9,9,0,High Performer,At-Risk,Low,Standard monitoring,0
319,11,11,10,0,0,High Performer,Average,Medium,Wellness & substance awareness program,1
320,11,11,11,2,0,High Performer,Average,Low,Standard monitoring,0
321,13,13,13,23,0,High Performer,Average,Medium,Attendance counseling + parent contact,1
322,11,9,9,12,0,Average,At-Risk,Low,Standard monitoring,0
323,11,11,11,3,0,Average,Average,Low,Standard monitoring,0
324,12,14,15,1,0,High Performer,High,Low,Standard monitoring,0
325,16,15,15,0,0,Average,High,Medium,Health & wellbeing referral,1
326,9,12,11,3,0,High Performer,Average,Low,Standard monitoring,0
327,14,15,16,3,0,At-Risk,High,High,Priority academic counseling | Study skills workshop | Wellness & substance awareness program,2
328,11,10,10,8,0,At-Risk,Average,High,Priority academic counseling | Study skills workshop | Wellness & substance awareness program,2
329,10,9,9,7,0,High Performer,At-Risk,Low,Standard monitoring,0
330,14,14,14,4,0,High Performer,Average,Low,Standard monitoring,0
331,9,8,8,2,0,At-Risk,At-Risk,High,Priority academic counseling | Wellness & substance awareness program,1
332,12,14,14,7,0,High Performer,Average,Low,Standard monitoring,0
333,7,0,0,0,0,Average,At-Risk,Medium,Early exam preparation support,1
334,8,8,0,0,0,Average,At-Risk,Medium,Health & wellbeing referral,1
335,10,9,0,0,0,Average,At-Risk,Low,Standard monitoring,0
336,16,15,15,16,0,High Performer,High,Medium,Attendance counseling + parent contact,1
337,14,13,13,12,1,Average,Average,Low,Standard monitoring,0
338,7,8,0,0,0,Average,At-Risk,Medium,Health & wellbeing referral,1
339,16,15,17,7,0,High Performer,High,Medium,Health & wellbeing referral,1
340,9,10,10,4,0,Average,Average,Medium,Health & wellbeing referral,1
